73,Cloberhill,52,NS 53368 70179,253368,670179,55.902321,-4.3469211
74,Ringwood Hill?,51,NS 56005 63240,256005,663240,55.840821,-4.3010927
75,Northwood Hill,50,NS 55368 62453,255368,662453,55.833565,-4.3108366
76,Greenoakhill,50,NS 66902 62510,266902,662510,55.837397,-4.1268558
77,Gilmorehill,49,NS 56907 66950,256907,666950,55.874397,-4.2886594
78,Mount Florida / Prospecthill,49,NS 58773 61713,258773,661713,55.827931,-4.2561338
79,Bellahouston Park,49,NS 54930 63797,254930,663797,55.845500,-4.3185419
80,Tongueshill,49,NS 51495 61642,251495,661642,55.825108,-4.3721726
81,,48,NS 52966 71326,252966,671326,55.912495,-4.3539690
82,Cathcart Braehead,48,NS 58330 60061,258330,660061,55.812969,-4.2623385
83,Mosspark Hill,48,NS 54448 63253,254448,663253,55.840471,-4.3259412
84,Oldbarhills,48,NS 50798 61305,250798,661305,55.821868,-4.3831031
85,Park Circus,47,NS 57469 66365,257469,666365,55.869312,-4.2793770
86,Sandyhills,46,NS 65382 63446,265382,663446,55.845380,-4.1515721
87,Inveresk Crescent,46,NS 64646 64974,264646,664974,55.858893,-4.1640801
88,Patrickhill,45,NS 55722 67016,255722,667016,55.874636,-4.3076175
89,,45,NS 52481 70720,252481,670720,55.906906,-4.3613902
90,Cowdenhill,45,NS 53513 69980,253513,669980,55.900578,-4.3444962
91,Shawhill,45,NS 56542 61637,256542,661637,55.826590,-4.2916778
92,Bangorshill,45,NS 55387 61009,255387,661009,55.820607,-4.3097648
93,Halfway House Hill / Craigtown Cemetry,45,NS 53615 64138,253615,664138,55.848164,-4.3397087
94,Jordanhill,44,NS 53606 68255,253606,668255,55.885121,-4.3420767
95,,43,NS 55554 61240,255554,661240,55.822731,-4.3072245
96,Nethercrookston,43,NS 52330 62294,252330,662294,55.831218,-4.3592106
97,Parkhead,43,NS 63212 63946,263212,663946,55.849258,-4.1864534
98,Anniesland College,42,NS 55098 68329,255098,668329,55.886236,-4.3182847
99,Crookston Wood,42,NS 53031 62995,253031,662995,55.837725,-4.3484088
100,Haghill?,42,NS 63000 64991,263000,664991,55.858580,-4.1903649
101,Balshagray Hill,41,NS 54946 68046,254946,668046,55.883650,-4.3205610
102,Hospital Hill,41,NS 54824 67745,254824,667745,55.880911,-4.3223482
103,Newark Hill,41,NS 57185 63155,257185,663155,55.840409,-4.2822209
104,Deer Park Hill,41,NS 55151 62100,255151,662100,55.830331,-4.3141099
105,Dovehill,41,NS 56992 61083,256992,661083,55.821750,-4.2842090
106,Hillhead / Cardonald,41,NS 53037 64133,253037,664133,55.847943,-4.3489294
107,Haugh Hill,41,NS 52603 61779,252603,661779,55.826678,-4.3545767
108,Priesthill,40,NS 52358 60962,252358,660962,55.819269,-4.3580401
109,Parkhead ,40,NS 63640 64056,263640,664056,55.850367,-4.1796780
110,Broomhill,39,NS 54904 67045,254904,667045,55.874651,-4.3206953
111,Queen Mary Avenue,39,NS 58644 62262,258644,662262,55.832822,-4.2584772
112,Terregles Hill,38,NS 56037 62815,256037,662815,55.837015,-4.3003567
113,Hillington Hill,38,NS 52390 64696,252390,664696,55.852800,-4.3595601
114,Kenmuirhill,38,NS 66328 62108,266328,662108,55.833629,-4.1358163
115,Woodland Garden,37,NS 55083 61789,255083,661789,55.827519,-4.3150286
116,Langton Crescent,37,NS 53306 62200,253306,662200,55.830672,-4.3435921
117,,37,NS 52382 61507,252382,661507,55.824169,-4.3579535
118,Comrie Street,37,NS 64906 63379,264906,663379,55.844645,-4.1591350
119,Angus Oval,36,NS 52867 63570,252867,663570,55.842837,-4.3513368
120,Corkerhill,36,NS 53971 62513,253971,662513,55.833683,-4.3331534
121,St Conval's Church Hill,35,NS 53231 62543,253231,662543,55.833728,-4.3449738
122,Southwold Road,34,NS 51468 64199,251468,664199,55.848055,-4.3740022
123,Crookston Castle,34,NS 52591 62694,252591,662694,55.834889,-4.3552647
124,Eastern Necropolis,33,NS 62125 64340,262125,664340,55.852486,-4.2040018
125,Yorkhill,32,NS 56369 66118,256369,666118,55.866768,-4.2968094
126,Chuckiehill,30,NS 67319 62214,267319,662214,55.834855,-4.1200577
